species,j,k,eta,sigma_mu
0.00000,76.83196,0.39884,1.52994,0.00171
0.00000,-0.38955,0.54014,2.33653,0.00499
0.00000,-3.93272,0.54914,2.33503,0.00752
0.00000,4.79346,0.50346,1.74981,0.00735
0.00000,-1.21195,0.59765,2.28930,0.00930
0.00000,3.97629,0.58960,1.10629,0.01132
0.00000,-5.22725,0.71744,2.41024,0.00701
0.00000,-16.68587,0.56165,2.60586,0.00614
0.00000,894.04663,0.11404,1.83170,0.00028
0.00000,262.60934,0.26528,1.58814,0.00098
0.00000,-7.15855,0.49287,1.94923,0.00822
0.00000,4.66566,0.48932,2.20917,0.00729
0.00000,11.45169,0.47183,2.06121,0.00625
0.00000,45.91626,0.44081,2.15555,0.00150
0.00000,-18.38454,0.50538,2.15039,0.00660
0.00000,37.04815,0.47944,1.60191,0.00412
0.00000,18.42033,0.56405,1.57871,0.00568
0.00000,11.20494,0.60922,2.01391,0.00315
0.00000,-6.17250,0.54423,2.45407,0.00609
0.00000,7.57567,0.60331,1.81801,0.00475
0.00000,-0.66641,0.75300,2.68877,0.00324
0.00000,-1.71945,0.75922,3.04816,0.00613
0.00000,-0.66629,0.59848,1.76930,0.01005
0.00000,-6.45101,0.62567,2.50795,0.00711
0.00000,3.84005,0.48690,1.76069,0.00502
0.00000,0.29457,0.42742,3.05822,0.00267
0.00000,23.00711,0.33403,1.67525,0.00360
0.00000,-8.74794,0.57914,2.31902,0.00100
0.00000,8.28735,0.51936,2.17928,0.00555
0.00000,237.22755,0.29746,1.36268,0.00070
0.00000,14.93545,0.43874,1.22948,0.00645
0.00000,45.26078,0.45809,1.76699,0.00328
0.00000,-5.54870,0.60696,2.15463,0.00716
0.00000,4.73314,0.15597,1.92672,0.00621
0.00000,-2.80617,0.51651,1.59069,0.00390
0.00000,22.91649,0.40796,2.19976,0.00041
0.00000,64.57090,0.34189,1.43196,0.00058
0.00000,6.26146,0.64826,1.48202,0.00090
0.00000,-6.47193,0.43854,2.18454,0.01179
0.00000,-1.92596,0.69559,3.00293,0.00233
0.00000,102.61463,0.46447,1.53123,0.00051
0.00000,46.21491,0.44164,1.97738,0.00424
0.00000,15.67894,0.61832,1.63010,0.00481
0.00000,-7.82574,0.51627,1.95419,0.00473
0.00000,-1.28702,0.58604,2.40909,0.00492
0.00000,233.25861,0.28753,1.20256,0.00092
0.00000,4.69838,0.62711,1.52985,0.00549
0.00000,0.35713,0.66853,1.77769,0.00849
0.00000,0.46192,0.50480,1.97774,0.00459
0.00000,28.35414,0.43777,1.88449,0.00358
0.00000,-15.44654,0.61995,2.27110,0.00331
0.00000,6.49679,0.59037,1.95785,0.00315
0.00000,4.91675,0.59989,1.95224,0.00693
0.00000,9.65624,0.44508,1.90508,0.00820
0.00000,61.82742,0.53362,1.68139,0.00062
0.00000,6.80806,0.51822,2.17957,0.00338
0.00000,0.60951,0.62608,1.96752,0.00386
0.00000,19.59507,0.61291,1.38573,0.00082
0.00000,11.29190,0.58440,1.77529,0.00330
0.00000,-14.39294,0.56133,2.59113,0.00342
0.00000,8.64696,0.48901,1.26689,0.01091
0.00000,-5.85813,0.56667,2.14276,0.00589
0.00000,59.50325,0.47556,1.62213,0.00110
0.00000,10.87759,0.77109,1.33985,0.00295
0.00000,-4.86559,0.65983,2.08779,0.00090
0.00000,3.22697,0.74012,1.82989,0.00652
0.00000,83.12655,0.52058,1.55861,0.00050
0.00000,596.94244,0.15932,1.91092,0.00063
0.00000,7.11566,0.38062,1.34924,0.00781
0.00000,-0.02734,0.46223,1.88392,0.00462
0.00000,-0.03618,0.59612,1.52799,0.01106
0.00000,-2.95863,0.55609,1.95738,0.00528
0.00000,1.24392,0.65949,1.99455,0.00646
0.00000,12.04642,0.45701,1.95971,0.00563
0.00000,28.05581,0.25738,2.01739,0.00104
0.00000,-3.64469,0.50773,3.10425,0.00648
0.00000,428.51910,0.16974,1.95802,0.00057
0.00000,166.20584,0.27227,2.03495,0.00142
0.00000,1.29965,0.06220,2.14266,0.00760
0.00000,0.65501,0.60546,2.55943,0.00611
0.00000,31.47361,0.24870,1.85212,0.00168
0.00000,0.14536,1.02520,1.30744,0.00257
0.00000,-1.82514,0.58418,2.49731,0.00444
0.00000,-10.79139,0.52959,2.62448,0.00883
0.00000,-22.98664,0.40655,2.40598,0.00419
0.00000,-1.59094,0.50859,1.79425,0.01406
0.00000,10.89114,0.62957,1.74335,0.00656
0.00000,-3.77997,0.49709,2.15751,0.00596
0.00000,17.13904,0.51438,1.85786,0.00231
0.00000,26.62643,0.49178,1.90006,0.00387
0.00000,89.14507,0.43568,1.64422,0.00262
0.00000,465.00122,0.20752,1.95559,0.00037
0.00000,47.57837,0.37889,1.53313,0.00255
0.00000,38.73476,0.39766,1.95776,0.00330
0.00000,-10.21406,0.54358,2.55070,0.00566
0.00000,12.50825,0.58248,2.04433,0.00326
0.00000,93.78751,0.45987,1.77229,0.00041
0.00000,53.62086,0.40252,1.56184,0.00126
0.00000,61.46616,0.19711,1.75244,0.00134
0.00000,-2.33351,0.45180,2.19288,0.00822
0.00000,0.54754,1.34124,2.35520,0.00267
0.00000,18.78302,0.51121,2.10352,0.00365
0.00000,-0.40533,0.53170,1.89279,0.00556
