# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
NGC 0654,01 44 00,+61 53 06,129.082,-0.357,2041,14.24,0.868,7.148,B0,-12.7,5.0,,-33.8,-1.34,-0.72
Czernik 17,03 52 24,+61 57 00,142.557,6.185,,,,,,,4.0,,,,
Czernik 44,23 33 30,+61 57 00,113.908,0.452,,,,,,,4.0,,,,
Stock 24,00 39 42,+61 57 00,121.552,-0.890,2818,13.80,0.50,8.08,B9,-43.8,5.0,,,,
King 12,23 53 00,+61 58 00,116.124,-0.130,2378,13.71,0.590,7.037,,-5.4,3.0,,,,
Stock 17,23 46 00,+62 11 00,115.123,0.319,2144,13.94,0.736,6.775,B0,11.9,1.0,,,,
NGC 0366,01 06 26,+62 13 48,124.678,-0.591,1785,15.15,1.256,7.410,B0,-18.4,3.5,,,,
Czernik 7,02 02 24,+62 15 00,131.159,0.524,,,,,,,4.0,,,,
ASCC 117,22 04 58,+62 16 12,104.85,5.39,1200,11.33,0.30,6.67,,112.7,42.0,,-11.39,-2.31,+0.03
Pfleiderer 4,23 50 53,+62 19 24,115.965,0.274,,,,,,,1.3,,,,
NGC 1502,04 07 50,+62 19 54,143.672,7.658,821,11.92,0.759,7.051,B0,109.4,8.0,,-18.00,+0.49,+0.50
Stock 3,01 12 18,+62 20 00,125.351,-0.440,,,,,B0,,5.0,,,,
Czernik 13,02 44 42,+62 21 00,135.659,2.310,3961,15.33,0.755,6.854,,159.7,4.0,,,,
Berkeley 7,01 54 12,+62 22 00,130.138,0.376,2570,14.53,0.80,6.60,,16.9,4.0,,,,
ASCC 130,23 52 47,+62 26 23,116.20,0.33,3400,14.27,0.52,7.03,,19.6,18.0,,,-1.22,+0.35
NGC 7160,21 53 40,+62 36 12,104.012,6.457,789,10.65,0.375,7.278,B1,88.7,5.0,,-20.00,-1.57,-1.60
Stock 20,00 25 15,+62 37 11,119.92,-0.10,909,10.41,0.20,8.53,B5,-1.6,19.2,,,-0.40,-1.12
ASCC 1,00 09 35,+62 40 48,118.15,0.19,4000,13.51,0.16,8.25,,13.3,24.0,,-76.15,-2.07,+0.46
King 21,23 49 56,+62 41 54,115.946,0.663,2103,14.36,0.886,7.163,B0,25.0,4.0,,,,
ASCC 125,22 56 16,+62 45 00,110.17,2.76,1500,13.08,0.71,7.01,,72.2,66.0,,-17.93,-2.23,-3.44
Czernik 3,01 03 06,+62 47 00,124.265,-0.058,,,,,,,1.5,,,,
Czernik 6,02 02 00,+62 50 00,130.887,1.056,,,,,,,2.0,,,,
Berkeley 5,01 47 48,+62 56 00,129.293,0.760,6200,18.00,1.30,8.90,,82.2,5.0,,,,
King 14,00 31 54,+63 10 00,120.729,0.379,2593,13.35,0.414,7.924,B2,17.2,6.0,,,,
Trumpler 3,03 11 49,+63 11 23,138.01,4.50,690,10.12,0.30,10.12,B5,54.1,60.0,,,-2.42,+00.89
Pismis-Moreno 1,22 18 46,+63 16 12,106.72,5.31,900,11.32,0.50,7.55,,83.3,19.2,,-23.25,0.31,-0.39
NGC 0146,00 33 03,+63 18 06,120.868,0.504,3032,13.90,0.480,7.822,B3,26.7,7.0,,,,
NGC 0559,01 29 31,+63 18 24,127.193,0.750,1258,12.95,0.790,7.748,,16.5,6.0,,,,
NGC 0133,00 31 19,+63 21 00,120.678,0.566,630,10.86,0.60,7.00,A4,6.2,7.0,,,-0.70,-0.40
Berkeley 104,00 03 30,+63 35 00,117.630,1.206,4365,14.59,0.45,8.89,,91.9,3.0,+0.07,,,
Berkeley 63,02 19 36,+63 43 00,132.506,2.496,3305,15.40,0.90,8.70,,143.9,3.0,,,,
NGC 886,02 23 27,+63 46 12,132.89,2.69,1700,12.39,0.40,8.48,,79.8,18.0,,,1.24,+01.56
Berkeley 100,23 25 58,+63 46 48,113.660,2.458,3355,16.38,1.21,8.20,,143.9,2.0,,,,
Stock 6,02 23 42,+63 52 00,132.881,2.792,,,,,A2,,14.0,,,,
Berkeley 93,21 56 12,+63 56 00,105.072,7.319,5600,18.39,1.5,8.0,,713.4,2.0,,,,
Berkeley 62,01 01 00,+63 57 00,123.982,1.098,1837,13.96,0.852,7.185,,35.2,5.0,,,,
NGC 0637,01 43 04,+64 02 24,128.546,1.732,2160,13.64,0.634,6.980,B0,65.3,3.0,,-46.00,,
Dias 1,00 42 35,+64 04 05,121.964,1.213,1690,14.49,1.08,7.10,,35.8,4.0,,,,
Dolidze 13,00 50 00,+64 08 00,122.775,1.262,,,,,,,10.0,,,,
King 16,00 43 45,+64 11 08,122.095,1.326,1920,14.18,0.89,,B0,44.4,5.0,,,,
Berkeley 101,23 32 47,+64 12 30,114.504,2.631,2500,15.43,1.11,8.85,,114.8,2.0,,,,
Stock 5,02 04 30,+64 21 36,130.73,2.60,1100,11.45,0.40,7.73,B0,49.9,27.6,,-19.30,-0.85,-1.51
King 1,00 22 04,+64 22 50,119.763,1.690,1900,13.56,0.70,9.30,,56.0,9.0,,,,
Berkeley 4,00 45 01,+64 23 05,122.238,1.522,2460,14.53,0.83,7.10,,65.3,24.0,,,-1.29,+00.12
NGC 0609,01 36 23,+64 32 18,127.740,2.087,3981,14.08,0.350,9.232,,145.0,3.0,,,,
Czernik 45,23 56 18,+64 33 00,117.050,2.310,,,,,,,2.0,,,,
Stock 18,00 01 37,+64 37 30,117.624,2.268,,,,,B0,,6.0,,,,
ASCC 127,23 08 23,+64 50 59,112.26,4.13,350,8.03,0.10,7.82,,25.2,86.4,,-8.24,+6.89,-2.23
Pfleiderer 1,01 08 05,+65 38 48,124.649,2.830,,,,,,,1.5,,,,
NGC 7142,21 45 09,+65 46 30,105.347,9.485,1686,12.36,0.397,9.276,F3,277.8,12.0,+0.04,,,
Berkeley 64,02 21 06,+65 54 00,131.919,4.605,3981,16.25,1.05,9.00,,319.6,2.0,-0.61,,,
