# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
NGC 2682,08 51 18,+11 48 00,215.696,31.896,908,9.97,0.059,9.409,B8,479.8,25.0,+0.00,+33.00,-8.62,-6.00
Chupina 5,08 53 01,+11 51 42,215.838,32.304,,,,,,,4.5,,,,
Dolidze 26,07 30 06,+11 54 00,206.508,13.901,,,,,,,23.0,,,,
NGC 2265,06 41 41,+11 54 18,201.225,3.268,,,,,,,9.0,,,,
Chupina 1,08 50 07,+11 56 42,215.399,31.694,,,,,,,5.0,,,,
NGC 0305,00 56 20,+12 04 00,124.825,-50.787,,,,,,,6.0,,,,
NGC 6840,19 55 18,+12 07 36,51.162,-8.253,,,,,,,6.0,,,,
NGC 6843,19 56 06,+12 09 48,51.293,-8.404,,,,,,,5.0,,,,
Alessi 19,18 19 04,+12 10 48,40.29,12.63,550,8.83,0.04,8.05,,120.3,90.0,,-5.10,-0.47,-6.97
Chupina 2,08 50 30,+12 17 42,215.070,31.925,,,,,,,2.1,,,,
Chupina 4,08 52 00,+12 22 42,215.159,32.293,,,,,,,5.0,,,,
NGC 2224,06 27 28,+12 35 36,198.968,0.544,,,,,,,13.0,,,,
NGC 2664,08 47 11,+12 36 06,214.350,31.314,,,,,,,8.0,,,,
Juchert 1,19 22 32,+12 40 00,47.727,-1.001,,,,,,,3.2,,,,
NGC 2194,06 13 45,+12 48 24,197.250,-2.349,3781,14.08,0.383,8.515,,-155.0,9.0,,,-0.31,-4.39
Luginbuhl-Skiff 1,06 14 48,+12 52 24,197.314,-2.093,3150,14.26,0.57,8.40,,-115.0,7.0,,,,
Berkeley 82,19 11 24,+13 04 00,46.815,1.586,860,12.84,1.021,7.493,,23.8,2.0,,,,
NGC 1663,04 48 58,+13 08 54,185.845,-19.735,700,9.85,0.20,9.30,,,12.0,,,,
NGC 2395,07 27 12,+13 36 30,204.605,13.988,512,8.92,0.120,9.070,,123.8,14.0,,,-3.36,-6.02
King 25,19 24 30,+13 42 00,48.865,-0.935,,,,,,,5.0,,,,
NGC 2355,07 16 59,+13 45 00,203.390,11.803,2200,12.08,0.12,8.85,,450.0,7.0,-0.07,+35.13,-2.5,-3.0
NGC 2169,06 08 24,+13 57 54,195.608,-2.934,1052,10.73,0.199,7.067,B1,-53.8,5.0,,+17.00,-4.21,-2.45
Ivanov 2,06 15 53,+14 16 00,196.213,-1.198,,,,,,,2.0,,,,
King 26,19 29 00,+14 52 00,50.410,-1.339,2600,16.00,1.27,8.64,,-60.8,2.0,,,,
NGC 7036,21 10 02,+15 31 00,64.544,-21.443,1000,10.31,0.1,9.5,,-365.6,4.0,,,,
Dol-Dzim 7,17 10 36,+15 32 00,36.294,29.166,,,,,F0,,5.0,,,,
Collinder 65,05 26 05,+15 41 59,188.86,-10.86,310,7.86,0.13,7.41,,-58.4,288.0,,17.40,1.16,-6.46
Berkeley 45,19 19 12,+15 43 00,50.040,1.145,2300,14.35,0.82,8.78,,46.0,2.0,,,,
Melotte 25,04 26 54,+15 52 00,180.064,-22.343,45,3.30,0.010,8.896,A2,-17.1,330.0,+0.17,,,
NGC 7772,23 51 46,+16 14 48,102.740,-44.273,1500,10.97,0.03,9.17,,-1047.1,3.0,,,,
NGC 1807,05 10 43,+16 31 18,186.088,-13.495,,,,,A2,,15.0,,,,
NGC 6950,20 41 04,+16 37 06,61.107,-15.198,,,,,,,15.0,,,,
NGC 1817,05 12 15,+16 41 24,186.156,-13.096,1972,12.51,0.334,8.612,A0,-446.8,16.0,-0.26,,+1.02,-6.51
NGC 2234,06 29 21,+16 43 22,195.584,2.846,,,,,,,25.0,,,,
Berkeley 29,06 53 18,+16 55 00,197.983,8.025,14871,13.92,0.157,9.025,,680.0,6.0,-0.18,,,
Dol-Dzim 1,02 47 30,+17 16 00,158.617,-37.435,,,,,A0,,14.0,,,,
Berkeley 47,19 28 36,+17 22 06,52.561,-0.058,1420,14.05,1.06,8.20,,-1.4,3.0,,,,
NGC 7084,21 32 33,+17 30 30,69.963,-24.302,,,,,,,16.0,,,,
Roslund 1,19 45 00,+17 31 12,54.60,-3.39,670,9.28,0.05,8.47,,-39.6,18.0,,,1.18,-7.08
NGC 6839,19 54 33,+17 56 18,56.114,-5.152,,,,,,,6.0,,,,
NGC 2304,06 55 11,+17 59 18,197.207,8.897,3991,13.32,0.10,8.90,,617.2,3.0,-0.32,,,
Harvard 20,19 53 06,+18 20 00,56.279,-4.654,1540,11.70,0.247,7.476,,-125.0,7.0,,,+1.07,-4.66
Alessi 11,20 21 24,+18 21 36,59.884,-10.340,,,,,,,24.0,,,-0.31,-9.64
ASCC 104,19 38 52,+18 41 24,54.90,-1.55,800,10.54,0.33,7.71,,-21.6,57.6,,-5.65,-0.09,-4.65
NGC 1647,04 45 55,+19 06 54,180.337,-16.772,540,9.81,0.370,8.158,B8,-155.8,40.0,,-2.0,-1.77,-2.00
Berkeley 44,19 17 12,+19 33 00,53.212,3.354,1800,15.62,1.40,9.11,,105.3,2.0,,,,
NGC 2632,08 40 24,+19 40 00,205.920,32.484,187,6.39,0.009,8.863,A0,100.4,70.0,+0.14,+34.4,-35.58,-12.90
Bochum 1,06 25 30,+19 46 00,192.431,3.401,2800,13.69,0.47,7.00,,166.3,18.0,,,,
NGC 2026,05 43 12,+20 08 00,187.234,-5.059,,,,,,,11.0,,,,
Collinder 399,19 25 24,+20 11 00,54.677,1.948,1291,11.72,0.377,8.205,,43.9,89.0,,,+0.34,-5.80
NGC 6802,19 30 35,+20 15 42,55.326,0.916,1124,12.88,0.848,8.870,B6,18.0,5.0,,,,
Roslund 3,19 58 42,+20 29 00,58.811,-4.682,1467,11.91,0.348,8.036,,-119.7,5.0,,-4.7,-1.61,-5.28
NGC 2175,06 09 39,+20 29 12,190.043,0.482,1627,12.91,0.598,6.953,,13.7,5.0,,+22.00,+1.80,-2.26
Berkeley 23,06 33 30,+20 33 00,192.606,5.446,6918,15.44,0.40,8.90,,656.6,4.0,+0.07,,,
Pismis 27,06 10 54,+20 36 00,190.085,0.793,,,,,,,5.0,,,,
Czernik 24,05 55 27,+20 52 59,188.059,-2.211,4100,14.74,0.54,9.25,,-158.2,5.0,-0.41,,,
NGC 6873,20 07 13,+21 06 06,60.451,-6.154,,,,,,,15.0,,,,
Czernik 40,19 42 36,+21 09 14,57.476,-1.100,3090,15.52,0.99,8.90,,-59.3,4.0,,,,
Dias 7,19 49 21,+21 10 12,58.279,-2.454,2540,13.30,0.42,9.30,,-108.7,10.0,,,,
NGC 6827,19 48 54,+21 12 00,58.252,-2.348,4100,16.32,1.05,8.90,,-168.0,4.0,,,,
NGC 2420,07 38 23,+21 34 24,198.107,19.634,3085,12.54,0.029,9.048,,1036.6,5.0,-0.26,+84.00,,
Berkeley 21,05 51 42,+21 47 00,186.840,-2.509,5000,15.85,0.76,9.34,,-218.9,5.0,-0.83,,,
ASCC 107,19 48 32,+21 57 35,58.86,-1.89,700,9.85,0.20,8.41,,-23.1,13.2,,-7.00,+0.89,-4.48
Basel 11b,05 58 12,+21 58 00,187.442,-1.114,1692,12.12,0.315,7.816,,-32.9,3.0,,,,
NGC 6793,19 23 13,+22 08 23,56.16,3.32,1100,10.73,0.17,8.64,,63.7,18.0,,,3.90,+01.09
Berkeley 72,05 50 18,+22 12 00,186.315,-2.575,3810,15.35,0.79,8.78,,-171.2,2.0,,,,
NGC 6938,20 34 42,+22 12 54,64.910,-10.743,,,,,,,7.0,,,,
Platais 4,05 06 53,+22 22 12,180.65,-10.90,276,7.98,0.25,8.24,,-52.2,150.0,,13.80,2.36,-6.33
NGC 6830,19 50 59,+23 06 00,60.135,-1.800,1639,12.63,0.501,7.572,B0,-51.5,5.0,,,+0.89,-2.76
Collinder 89,06 19 29,+23 17 59,188.65,3.83,800,11.00,0.48,7.50,B0,53.4,60.0,,26.23,0.42,-2.15
NGC 6823,19 43 09,+23 18 00,59.402,-0.144,1893,14.01,0.845,6.820,O7,-4.8,6.0,,+11.00,-1.41,-3.04
NGC 2129,06 00 41,+23 19 06,186.555,0.056,1515,12.90,0.646,7.318,B1,1.5,5.0,,-6.3,+2.22,-1.66
NGC 6659,18 33 59,+23 35 42,52.480,14.156,,,,,,,7.0,,,,
NGC 1750,05 03 55,+23 39 30,179.178,-10.695,630,10.05,0.34,8.30,,-116.9,20.0,,,-3.14,-2.91
NGC 1746,05 03 50,+23 46 12,179.07,-10.65,760,10.18,0.25,8.19,B5,-140.5,68.4,,2.00,-1.87,-3.07
Alessi 12,20 43 30,+23 46 48,67.41,-11.46,537,8.90,0.08,7.90,,-106.7,60.0,,,3.75,-4.66
NGC 1758,05 04 35,+23 47 54,179.155,-10.490,760,10.46,0.34,8.60,,-138.4,9.0,,,-1.44,-3.50
Roslund 2,19 45 25,+23 55 12,60.19,-0.28,2000,14.30,0.90,6.89,,-9.8,27.6,,-5.00,-1.88,-4.24
IC 2157,06 05 00,+24 00 00,186.382,1.246,2040,13.25,0.548,7.800,B0,44.4,5.0,,,-1.71,-3.90
NGC 2158,06 07 25,+24 05 48,186.634,1.781,5071,14.64,0.360,9.023,F0,157.6,5.0,-0.23,+28.00,,
Melotte 22,03 47 00,+24 07 00,166.571,-23.521,150,5.97,0.030,8.131,B5,-59.9,120.0,,+5.67,+19.88,-45.00
NGC 1802,05 10 15,+24 08 23,179.64,-9.24,400,8.78,0.25,8.66,,-64.2,36.0,,,-0.48,-8.23
IC 2156,06 04 51,+24 09 30,186.295,1.300,2100,13.70,0.67,8.40,,47.6,3.0,,,,
Dol-Dzim 8,17 26 12,+24 11 00,47.029,28.805,,,,,A5,,14.0,,,,
Kharchenko 1,06 08 48,+24 19 54,186.581,2.171,2520,12.94,0.30,8.0,,95.5,7.0,,,+2.14,-3.54
NGC 2168,06 09 00,+24 21 00,186.587,2.219,816,10.37,0.262,7.979,B3,31.6,25.0,-0.16,+17.7,+1.85,-3.00
ASCC 25,06 45 32,+24 36 00,190.18,9.72,1400,11.23,0.16,8.86,,236.4,25.2,,21.50,+0.96,-3.26
Dutra-Bica 84,06 09 28,+24 55 42,186.132,2.591,,,,,,,4.0,,,,
NGC 6800,19 27 07,+25 08 23,59.23,3.95,1000,11.24,0.40,8.59,A0,68.9,15.6,,,1.65,+04.27
Stock 1,19 35 48,+25 13 00,60.247,2.257,320,7.99,0.15,,A0,12.6,80.0,,,,
Czernik 41,19 51 01,+25 16 07,62.005,-0.701,1360,14.64,1.28,8.70,,-16.6,7.0,,,,
Saurer 5,19 39 35,+25 39 00,61.031,1.734,,,,,,,1.8,,,,
NGC 6904,20 21 48,+25 44 24,66.135,-6.311,,,,,,,8.0,,,,
NGC 1996,05 38 02,+25 46 12,181.80,-3.11,1400,11.20,0.15,8.45,,-76.0,24.0,,,0.58,-4.35
Dol-Dzim 4,05 35 54,+25 57 00,181.393,-3.410,,,,,,,25.0,,,,
Melotte 111,12 25 06,+26 06 00,221.353,84.025,96,4.95,0.013,8.652,A0,95.5,120.0,,,-10.84,-3.20
NGC 2248,06 34 35,+26 18 16,187.537,8.247,,,,,,,1.5,,,,
Dol-Dzim 3,05 33 42,+26 29 00,180.677,-3.538,,,,,B8,,10.0,,,,
NGC 6885,20 11 58,+26 29 00,65.530,-4.074,597,9.13,0.08,9.16,B5,-42.4,10.0,,,-2.64,-4.30
NGC 6815,19 40 44,+26 45 30,62.135,2.045,,,,,,,30.0,,,,
NGC 6882,20 11 47,+26 48 42,65.781,-3.849,,,,,,,5.0,,+0.7,+1.60,-9.80
NGC 2266,06 43 19,+26 58 12,187.790,10.294,3400,12.97,0.10,8.80,,607.6,5.0,,,,
Collinder 21,01 50 11,+27 04 00,138.733,-33.996,,,,,,,9.0,,,,
NGC 2331,07 06 59,+27 15 42,189.728,15.218,,,,,,,14.0,,,,
Turner 1,19 48 25,+27 17 35,63.453,0.829,1675,12.60,0.476,7.460,,24.2,4.0,,,,
ASCC 105,19 41 45,+27 22 47,62.78,2.16,500,8.77,0.09,8.00,,18.8,72.0,,-18.75,+0.91,-3.76
Dutra-Bica 83,05 52 05,+27 23 30,182.058,0.425,,,,,,,3.5,,,,
Dolidze 14,04 06 36,+27 26 00,167.550,-18.079,,,,,,,10.0,,,,
Latysev 1,02 52 00,+27 30 00,153.280,-28.174,,,,,,,330.0,,,,
NGC 7833,00 06 31,+27 38 30,110.895,-34.178,,,,,,,1.3,,,,
Kronberger 5,19 46 05,+27 50 00,63.660,1.548,,,,,,,6.0,,,,
Turner 8,19 45 16,+27 50 30,63.577,1.708,,,,,,,2.5,,,,
Kronberger 4,19 45 12,+28 09 35,63.845,1.880,,,,,,,1.0,,,,
NGC 6940,20 34 26,+28 17 00,69.860,-7.147,770,10.10,0.214,8.858,B8,-95.8,25.0,+0.01,+7.7,-1.88,-8.60
Berkeley 83,20 01 18,+28 37 00,66.057,-0.922,,,,,,,2.0,,,,
Czernik 19,04 57 09,+28 46 47,174.099,-8.832,2525,14.25,0.85,8.00,,-387.7,14.0,,,,
Czernik 23,05 49 42,+28 56 00,180.464,0.762,,,,,,,5.0,,,,
Berkeley 52,20 14 18,+28 58 00,67.891,-3.130,4900,18.10,1.50,9.30,,-267.5,2.0,,,,
Roslund 4,20 04 54,+29 13 00,66.984,-1.270,2510,15.07,0.991,7.447,,-55.6,5.0,,,-1.69,-5.20
Turner 9,19 44 49,+29 15 54,64.761,2.505,852,9.65,0.15,8.20,,37.2,33.0,,,,
NGC 6743,19 01 20,+29 16 36,60.367,10.922,,,,,,,7.0,,,,
NGC 1896,05 25 40,+29 17 59,177.34,-3.48,820,10.03,0.15,8.80,,-49.8,22.8,,,0.54,-8.03
NGC 6834,19 52 12,+29 24 30,65.698,1.189,2067,13.77,0.708,7.883,B2,42.9,5.0,,-6.8,-1.88,-4.20
Mandushev 1,19 42 00,+29 27 08,64.619,3.131,,,,,,,13.0,,,,
Berkeley 19,05 24 06,+29 36 00,176.901,-3.588,4831,14.66,0.40,9.49,,-302.3,4.0,,,,
ASCC 102,19 24 50,+29 57 00,63.27,6.64,1500,10.88,0.00,8.79,,173.4,21.6,,,-0.41,-2.45
ASCC 17,05 25 12,+30 10 12,176.56,-3.08,2000,12.50,0.32,7.12,,-107.5,30.0,,-16.00,+1.33,-6.39
NGC 6847,19 56 37,+30 12 48,66.882,0.783,,,,,,,30.0,,,,
Basel 4,05 48 30,+30 13 00,179.230,1.199,3000,13.78,0.45,8.30,B2,118.7,5.0,,,,
Berkeley 17,05 20 36,+30 36 00,175.646,-3.648,2700,14.33,0.70,10.08,,-171.8,7.0,-0.33,-84.00,,
Czernik 18,04 28 00,+30 56 00,168.287,-12.287,955,9.90,0.43,8.90,,-203.2,5.0,,,,
Dol-Dzim 9,18 08 48,+31 32 00,58.099,22.259,,,,,F0,,28.0,,,,
Platais 2,01 13 01,+32 04 48,128.23,-30.57,201,6.67,0.05,8.54,,-102.2,204.0,,0.10,13.21,-9.98
Saurer 6,19 49 05,+32 06 42,68.010,2.850,9330,17.24,0.77,9.29,,463.9,1.8,,,,
Berkeley 71,05 40 56,+32 16 42,176.626,0.898,3900,15.59,0.85,8.80,,61.1,5.0,,,,
IC 348,03 44 30,+32 17 00,160.490,-17.802,385,10.81,0.929,7.641,B6,-117.7,7.0,,,+7.29,-7.70
NGC 6846,19 56 28,+32 20 54,68.691,1.919,4450,16.50,1.05,8.60,,149.0,2.0,,,,
Loiano 1,19 58 21,+32 32 24,69.053,1.704,2700,13.52,0.44,8.40,,,6.0,,,,
NGC 2099,05 52 18,+32 33 12,177.635,3.091,1383,11.64,0.302,8.540,B9,74.6,14.0,+0.08,+7.7,+3.78,-7.09
Berkeley 69,05 24 36,+32 39 00,174.435,-1.787,2860,14.30,0.65,8.95,,-89.2,3.0,,,-0.25,-3.93
Dolidze 16,05 14 36,+32 43 00,173.176,-3.475,,,,,,,5.0,,,,
Dolidze 18,05 24 06,+33 18 00,173.767,-1.447,,,,,,,5.0,,,,
NGC 1893,05 22 44,+33 24 42,173.585,-1.680,3280,14.38,0.581,7.027,,-96.2,11.0,,-4.7,+0.54,-4.03
ASCC 100,19 01 37,+33 34 11,64.37,12.67,350,7.78,0.02,8.01,,76.8,37.2,,-22.89,+2.29,-1.51
ASCC 110,20 02 59,+33 34 11,70.45,1.40,800,9.98,0.15,8.75,,19.5,27.6,,-20.50,+0.60,-4.41
King 8,05 49 24,+33 38 00,176.395,3.119,6403,15.83,0.580,8.618,B0,348.4,4.0,-0.46,,,
NGC 7037,21 10 54,+33 45 48,79.133,-9.761,,,,,,,6.0,,,,
Roslund 5,20 10 00,+33 46 00,71.400,0.273,389,8.25,0.098,7.832,,1.9,50.0,,,+2.32,-1.50
Dolidze 20,05 28 36,+33 47 00,174.044,-0.528,,,,,,,5.0,,,,
Berkeley 84,20 04 43,+33 54 18,70.924,1.271,2025,13.90,0.76,8.08,,44.9,2.0,,,,
NGC 1960,05 36 18,+34 08 24,174.535,1.072,1318,11.29,0.222,7.468,B2,24.7,10.0,,-4.0,+0.15,-4.05
NGC 1931,05 31 25,+34 14 42,173.898,0.281,3086,14.73,0.738,7.002,,15.1,5.0,,,,
Berkeley 51,20 11 54,+34 24 06,72.147,0.291,3200,17.67,1.66,8.18,,16.3,2.0,,,,
Stock 8,05 28 08,+34 25 42,173.371,-0.183,1821,12.68,0.445,7.056,B0,-5.8,14.0,,,-0.99,-5.39
ASCC 109,19 53 59,+34 34 48,70.33,3.51,450,8.27,0.00,8.31,,27.6,60.0,,,+0.47,-2.23
Berkeley 49,19 59 31,+34 38 48,70.985,2.575,2035,16.40,1.57,8.20,,91.4,4.0,,,,
Kronberger 1,05 28 20,+34 46 52,173.100,0.047,,,,,,,1.5,,,,
Dolidze 15,05 04 36,+34 50 00,170.233,-3.893,,,,,,,18.0,,,,
Berkeley 50,20 10 24,+34 58 00,72.451,0.859,2100,14.62,0.97,8.40,,31.5,2.0,,,,
ASCC 10,03 27 00,+35 02 24,155.60,-17.79,700,9.53,0.10,8.65,,-213.9,57.6,,,-3.08,-1.01
ASCC 14,05 20 31,+35 13 12,171.83,-1.03,1100,10.77,0.18,8.61,,-19.8,26.4,,-16.87,-0.91,-5.98
NGC 2240,06 33 10,+35 15 00,179.21,11.84,450,8.79,0.17,9.50,,92.3,32.4,,,1.92,-12.88
NGC 1907,05 28 05,+35 19 30,172.619,0.306,1556,12.25,0.415,8.567,B3,8.3,7.0,,+0.1,-1.88,-1.63
Biurakan 2,20 09 12,+35 29 00,72.751,1.345,1106,11.33,0.360,7.011,,26.0,20.0,,,-2.52,-6.53
Ruprecht 175,20 45 12,+35 30 00,77.028,-4.604,,,,,,,14.0,,,,
Ruprecht 173,20 41 48,+35 33 00,76.640,-4.029,,,,,,,39.0,,,,
Turner 11,20 43 24,+35 35 18,76.871,-4.262,,,,,,,,,,,
Ruprecht 172,20 11 34,+35 35 59,73.11,1.01,1100,10.83,0.20,8.91,,19.4,19.2,,,-0.42,-3.97
ASCC 103,19 36 10,+35 40 11,69.48,7.22,700,9.23,0.00,8.37,,88.0,43.2,,,-1.35,-2.30
Biurakan 1,20 07 30,+35 42 00,72.74,1.76,1600,12.04,0.33,7.25,,49.1,26.4,,-8.48,-3.51,-6.24
NGC 6871,20 05 59,+35 46 36,72.645,2.054,1574,12.36,0.443,6.958,O6,56.4,29.0,,-7.7,-2.89,-5.65
NGC 0272,00 51 24,+35 49 54,122.931,-27.050,,,,,,,4.0,,,,
NGC 6883,20 11 19,+35 49 54,73.278,1.175,,,,,B3,,35.0,,,-2.89,-6.53
NGC 1912,05 28 40,+35 50 54,172.250,0.695,1066,10.91,0.248,8.463,B4,12.9,20.0,,-1,-0.05,-5.70
Dol-Dzim 11,20 51 00,+35 57 00,78.119,-5.241,,,,,A0,,5.0,,,,
Czernik 21,05 26 30,+36 00 00,171.880,0.415,3000,15.05,0.86,9.20,,21.7,7.0,,,,
NGC 7050,21 15 12,+36 10 24,81.533,-8.774,,,,,,,7.0,,,,
Upgren 1,12 35 00,+36 18 00,142.740,80.188,,,,,F3,,18.0,,,,
ASCC 101,19 13 37,+36 19 48,67.99,11.59,350,7.72,0.00,8.52,,70.3,43.2,,,+0.81,+1.87
NGC 7063,21 24 21,+36 29 12,83.058,-9.883,689,9.47,0.091,7.977,B8,-118.3,9.0,,,+0.64,-2.10
ASCC 15,05 22 37,+36 32 59,170.98,0.07,1400,11.60,0.28,8.60,,1.7,24.0,,,-0.08,-6.58
Dolidze 1,20 08 12,+36 33 00,73.538,2.094,,,,,,,5.0,,,,
Dolidze 47,20 41 36,+36 39 00,77.487,-3.323,,,,,,,5.0,,,,
Dolidze 4,20 17 48,+36 45 00,74.766,0.597,,,,,O,,2.0,,,,
Dolidze 3,20 15 42,+36 47 00,74.559,0.965,,,,,O,,6.0,,,,
Iskudarian 1,18 47 54,+36 51 00,66.359,16.526,,,,,,,110.0,,,,
NGC 1548,04 21 20,+36 55 00,162.895,-9.180,,,,,,,4.0,,,,
Stephenson 1,18 53 30,+36 55 00,66.863,15.515,390,8.08,0.040,7.731,B5,104.3,20.0,,,,
NGC 1778,05 08 04,+37 01 24,168.903,-2.015,1469,11.88,0.336,8.155,B6,-51.7,8.0,,+10.00,+3.33,-3.21
Ruprecht 174,20 43 30,+37 03 00,78.037,-3.377,,,,,,,8.0,,,,
Berkeley 87,20 21 42,+37 22 00,75.715,0.304,633,13.25,1.369,7.152,,3.4,10.0,,,,
NGC 1342,03 31 38,+37 22 36,154.952,-15.342,665,10.10,0.319,8.655,A2,-175.9,15.0,-0.16,-10.9,-1.15,-2.80
ASCC 111,20 11 13,+37 27 00,74.62,2.08,1600,11.95,0.30,7.05,,58.1,66.0,,-14.24,-0.45,-3.90
Dias 11,20 04 08,+37 28 30,73.884,3.275,,,,,,,,,,,
Dolidze 45,21 09 00,+37 36 00,81.741,-6.896,,,,,,,18.0,,,,
IC 4996,20 16 30,+37 38 00,75.353,1.306,1732,13.28,0.673,6.948,B0,39.5,6.0,,-22.,-0.53,-4.34
Dolidze 37,20 03 00,+37 41 00,73.941,3.576,,,,,,,8.0,,,,
Dolidze 41,20 18 49,+37 45 00,75.707,0.992,,,,,,,11.0,,,,
Berkeley 85,20 18 55,+37 45 33,75.726,0.981,1760,13.61,0.77,9.00,,30.1,10.0,,,,
NGC 6791,19 20 53,+37 46 18,69.959,10.904,4100,13.43,0.117,9.643,F2,775.6,10.0,+0.15,-57.00,-3.17,-7.74
NGC 0752,01 57 41,+37 47 06,137.125,-23.254,457,8.40,0.034,9.050,A2,-180.4,75.0,-0.08,+4.7,+7.50,-11.50
Dolidze 39,20 16 24,+37 52 00,75.536,1.453,,,,,,,12.0,,,,
Dolidze 40,20 18 49,+37 54 00,75.831,1.077,,,,,,,15.0,,,,
Roslund 7,20 52 22,+37 54 00,79.80,-4.22,700,9.85,0.20,8.67,,-51.5,51.6,,,1.20,+00.42
Stock 10,05 39 00,+37 55 48,171.62,3.55,380,8.15,0.08,8.42,B7,23.5,38.4,,-8.15,-3.34,-1.57
Feibelman 1,20 17 47,+38 02 00,75.827,1.320,,,,,,,5.0,,,,
Dol-Dzim 5,16 27 24,+38 04 00,60.866,43.875,,,,,,,27.0,,,,
Dolidze 42,20 19 42,+38 08 00,76.122,1.065,972,11.71,0.571,7.542,,18.1,7.0,,,,
Basel 6,20 06 48,+38 21 00,74.906,3.298,1548,12.75,0.580,7.977,,89.1,7.0,,,,
Dol-Dzim 6,16 45 24,+38 21 00,61.583,40.368,,,,,F5,,6.0,,,,
NGC 6913,20 23 57,+38 30 30,76.905,0.594,1148,12.61,0.744,7.111,B0,11.9,10.0,,-34.00,-4.40,-5.22
ASCC 113,21 12 00,+38 35 59,82.88,-6.65,450,8.27,0.00,8.14,,-52.1,56.4,,,+1.04,-4.22
Berkeley 86,20 20 24,+38 42 00,76.667,1.272,1112,13.01,0.898,7.116,,24.7,6.0,,-19.3,-4.09,-4.54
King 17,05 08 24,+39 05 00,167.291,-0.731,3240,14.35,0.58,8.22,,-41.3,5.0,,,,
Roslund 6,20 28 47,+39 15 35,78.06,0.26,450,8.45,0.06,8.47,,2.0,32.4,,,5.82,+02.03
NGC 1857,05 20 05,+39 19 30,168.405,1.259,,,,,A0,,6.0,,,,
vdBergh 130,20 17 42,+39 21 00,76.908,2.072,,,,,,,6.0,,,,
ASCC 108,19 53 49,+39 22 11,74.45,5.99,1100,10.36,0.05,8.64,,114.8,26.4,,,-0.21,-0.81
Dolidze 5,20 20 30,+39 23 00,77.241,1.644,,,,,,,10.0,,,,
Czernik 20,05 20 06,+39 28 00,168.286,1.444,,,,,,,4.0,,,,
ASCC 122,22 33 14,+39 36 36,95.91,-15.90,700,9.53,0.10,6.98,,-191.8,86.4,,-8.17,-0.29,-4.19
NGC 2192,06 15 17,+39 51 18,173.415,10.654,2500,12.11,0.04,9.30,,462.2,5.0,,,,
Dolidze 43,20 21 42,+39 57 00,77.839,1.775,,,,,,,20.0,,,,
Dolidze 10,20 26 18,+40 07 00,78.481,1.150,,,,,,,3.0,,,,
NGC 6819,19 41 18,+40 11 12,73.978,8.481,2360,12.60,0.238,9.174,A0,348.1,5.0,+0.07,+4.8,-3.14,-3.34
Waterloo 2,05 28 01,+40 22 18,168.410,3.094,570,9.31,0.17,,B8,30.8,4.0,,,,
Berkeley 54,21 03 12,+40 28 00,83.129,-4.143,2300,14.20,0.77,9.60,,-166.2,4.0,,,,
Dol-Dzim 10,20 05 48,+40 32 00,76.652,4.628,,,,,A0,,5.0,,,,
Collinder 419,20 17 59,+40 43 12,78.07,2.79,740,10.40,0.34,6.85,B2,36.0,30.0,,-8.19,-2.56,-6.99
NGC 6910,20 23 12,+40 46 42,78.683,2.013,1139,13.29,0.971,7.127,O8,40.0,10.0,,-30.00,-2.10,-5.24
Collinder 62,05 22 30,+41 00 00,167.277,2.684,,,,,,,28.0,,,,
NGC 2281,06 48 17,+41 04 42,174.901,16.881,558,8.93,0.063,8.554,A0,162.0,25.0,+0.13,+11.00,-4.49,-7.90
Dolidze 38,20 05 34,+41 12 00,77.19,5.02,1200,10.86,0.15,8.95,,105.0,24.0,,,-3.59,-6.49
IC 1311,20 10 18,+41 13 00,77.688,4.279,5333,15.99,0.760,8.625,,397.9,5.0,,,,
Dolidze 2,20 09 54,+41 22 00,77.774,4.423,,,,,,,6.0,,,,
Dolidze 6,20 20 48,+41 23 00,78.923,2.730,,,,,O,,5.0,,,,
Dolidze 11,20 26 30,+41 27 00,79.590,1.892,,,,,O,,5.0,,,,
NGC 7024,21 06 09,+41 29 18,84.265,-3.877,,,,,,,5.0,,,,
Collinder 421,20 23 10,+41 41 35,79.430,2.542,950,10.20,0.10,9.06,,42.1,14.4,,,-4.63,-9.73
Dolidze 44,20 29 42,+41 43 00,80.156,1.561,,,,,,,10.0,,,,
ASCC 12,04 49 55,+41 43 47,163.03,-1.86,500,8.96,0.15,8.42,,-16.2,30.0,,,-0.62,-1.86
Berkeley 56,21 17 42,+41 54 00,86.044,-5.170,12100,16.65,0.40,9.60,,-1090.3,3.0,,,,
Berkeley 70,05 25 42,+41 54 00,166.894,3.580,4158,14.58,0.48,9.67,,259.6,6.0,-0.32,,,
Dolidze 9,20 25 42,+41 56 00,79.898,2.293,,,,,A0,,5.0,,,,
Berkeley 68,04 44 30,+42 04 00,162.125,-2.408,1678,13.20,0.671,8.391,,-70.5,12.0,,,-3.18,-2.33
Dolidze 36,20 02 24,+42 09 00,77.69,6.03,900,10.45,0.22,8.83,,94.5,20.4,,,0.19,-0.95
Dolidze 8,20 24 24,+42 16 00,80.032,2.683,,,,,O,,5.0,,,,
NGC 7044,21 13 09,+42 29 42,85.890,-4.150,3161,14.33,0.590,9.279,,-228.8,6.0,,,,
