# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-0431	BLG534.30	 145288	17:50:54.51	-30:29:31.5	2455705.188	2011-05-23.69	17.070	0.230	4.426
2011-BLG-0432	BLG611.01	 110249	17:37:25.49	-27:34:32.0	2455705.217	2011-05-23.72	1.520	0.438	2.444
2011-BLG-0433	BLG511.07	 16428	18:01:11.12	-27:53:15.9	2455717.232	2011-06-04.73	5.953	0.404	2.623
2011-BLG-0434	BLG511.11	 169755	18:03:26.96	-27:33:12.0	2455711.903	2011-05-30.40	8.761	0.112	8.978
2011-BLG-0435	BLG513.03	 85491	18:03:41.78	-30:20:58.0	2455768.865	2011-07-26.36	0.893	0.811	1.519
2011-BLG-0436	BLG513.24	 37113	18:01:02.94	-29:49:49.6	2455705.260	2011-05-23.76	14.760	0.855	1.469
2011-BLG-0437	BLG611.04	 20121	17:35:45.33	-27:36:17.0	2455709.629	2011-05-28.13	24.262	0.205	4.953
2011-BLG-0438	BLG511.20	 13660	18:04:01.85	-27:16:54.5	2455731.678	2011-06-19.18	212.426	0.074	13.51
2011-BLG-0439	BLG512.20	 198776	18:03:28.06	-28:28:44.3	2455714.730	2011-06-02.23	17.734	0.226	4.508
2011-BLG-0440	BLG534.26	 110273	17:53:49.46	-30:35:13.9	2455711.487	2011-05-29.99	46.381	0.396	2.672
2011-BLG-0441	BLG611.06	 23277	17:34:21.45	-27:33:59.0	2455708.242	2011-05-26.74	1.667	2.002	1.061
2011-BLG-0442	BLG611.08	 130902	17:38:06.52	-27:16:12.0	2455711.164	2011-05-29.66	2.786	1.283	1.196
2011-BLG-0443	BLG611.13	 17161	17:35:01.88	-27:20:23.2	2455711.419	2011-05-29.92	15.762	0.056	18.00
2011-BLG-0444	BLG611.17	 71919	17:38:17.41	-27:06:04.2	2455710.126	2011-05-28.63	2.650	1.407	1.157
2011-BLG-0445	BLG501.32	 17283	17:49:55.29	-29:28:45.5	2455708.145	2011-05-26.64	6.722	0.277	3.716
2011-BLG-0446	BLG505.12	 27378	17:57:51.86	-29:20:26.5	2455731.664	2011-06-19.16	18.272	1.485	1.137
2011-BLG-0447	BLG513.06	 26420	18:01:53.13	-30:14:25.2	2455720.463	2011-06-07.96	24.124	0.121	8.331
2011-BLG-0448	BLG534.20	 70144	17:52:43.71	-30:57:20.4	2455740.412	2011-06-27.91	36.569	1.853	1.075
2011-BLG-0449	BLG506.14	 124309	17:55:58.96	-30:28:13.8	2455710.606	2011-05-29.11	1.573	1.592	1.114
2011-BLG-0450	BLG500.02	 159530	17:53:17.67	-28:57:15.6	2455721.324	2011-06-08.82	12.719	1.278	1.198
2011-BLG-0451	BLG504.12	 6738	17:57:51.46	-28:15:46.8	2455720.795	2011-06-08.29	13.569	0.604	1.874
2011-BLG-0452	BLG504.12	 61583	17:57:40.51	-28:14:28.3	2455713.664	2011-06-01.16	38.852	0.097	10.29
2011-BLG-0453	BLG504.24	 130836	17:55:10.01	-27:46:03.1	2455713.507	2011-06-01.01	16.148	0.056	17.92
2011-BLG-0454	BLG505.23	 29466	17:56:22.67	-28:57:13.2	2455703.757	2011-05-22.26	0.064	1.989	1.062
2011-BLG-0455	BLG505.30	 169047	17:56:40.01	-28:51:13.4	2455712.821	2011-05-31.32	3.124	0.332	3.138
2011-BLG-0456	BLG511.28	 66126	18:03:46.35	-26:52:56.9	2455719.503	2011-06-07.00	11.116	1.163	1.246
2011-BLG-0457	BLG512.06	 100796	18:01:43.11	-28:59:00.6	2455748.014	2011-07-05.51	57.390	0.490	2.219
2011-BLG-0458	BLG512.26	 93023	18:05:20.61	-28:05:13.6	2455719.404	2011-06-06.90	85.869	0.108	9.320
2011-BLG-0459	BLG500.01	 153935	17:53:59.72	-28:59:11.3	2455712.036	2011-05-30.54	3.489	1.146	1.254
2011-BLG-0460	BLG505.20	 95534	17:58:25.34	-28:59:53.6	2455730.722	2011-06-18.22	24.162	1.371	1.167
2011-BLG-0461	BLG506.12	 132356	17:57:15.46	-30:36:42.4	2455716.839	2011-06-04.34	9.540	2.097	1.053
2011-BLG-0462	BLG501.12	 175240	17:51:40.19	-29:53:26.3	2455763.327	2011-07-20.83	147.724	0.004	232.7
2011-BLG-0463	BLG611.23	 10450	17:34:29.08	-27:04:22.1	2455725.467	2011-06-12.97	6.931	0.739	1.615
2011-BLG-0464	BLG501.20	 75303	17:52:42.10	-29:43:43.4	2455715.357	2011-06-02.86	0.596	0.498	2.191
2011-BLG-0465	BLG505.11	 102456	17:58:25.32	-29:15:57.0	2455781.461	2011-08-07.96	35.673	0.516	2.126
2011-BLG-0466	BLG512.04	 117341	18:03:03.00	-29:11:18.7	2455721.669	2011-06-09.17	25.647	0.282	3.657
2011-BLG-0467	BLG512.25	 95525	18:00:22.14	-28:21:33.0	2455724.409	2011-06-11.91	22.116	0.502	2.176
2011-BLG-0468	BLG534.19	 179562	17:52:59.06	-30:53:14.1	2455719.214	2011-06-06.71	5.701	1.073	1.294
2011-BLG-0469	BLG512.07	 130016	18:00:50.10	-29:05:33.4	2455716.138	2011-06-03.64	6.277	0.186	5.442
2011-BLG-0470	BLG501.03	 65785	17:52:49.74	-30:20:57.6	2455723.701	2011-06-11.20	22.102	0.071	14.07
2011-BLG-0471	BLG501.20	 8627	17:52:58.61	-29:46:20.6	2455721.816	2011-06-09.32	0.276	0.046	21.85
2011-BLG-0472	BLG501.26	 37228	17:54:21.32	-29:16:50.7	2455737.656	2011-06-25.16	33.010	0.197	5.148
2011-BLG-0473	BLG504.17	 30875	18:00:36.24	-27:46:12.6	2455727.174	2011-06-14.67	6.809	0.749	1.602
2011-BLG-0474	BLG506.07	 145002	17:55:15.70	-30:47:44.2	2455709.396	2011-05-27.90	20.339	2.239	1.043
2011-BLG-0475	BLG506.12	 75130	17:57:27.72	-30:44:11.4	2455757.272	2011-07-14.77	20.306	0.844	1.480
2011-BLG-0476	BLG501.09	 76074	17:54:09.68	-30:01:13.8	2455722.512	2011-06-10.01	0.847	0.172	5.873
2011-BLG-0477	BLG501.11	 197360	17:52:26.21	-29:56:17.9	2455727.456	2011-06-14.96	61.206	0.143	7.060
2011-BLG-0478	BLG501.14	 50642	17:50:35.80	-29:58:31.1	2455864.237	2011-10-29.74	160.032	1.787	1.084
2011-BLG-0479	BLG501.15	 16226	17:50:05.58	-29:53:50.6	2455765.308	2011-07-22.81	37.619	0.097	10.34
2011-BLG-0480	BLG501.17	 210586	17:54:32.89	-29:40:07.0	2455728.548	2011-06-16.05	59.396	0.182	5.555
2011-BLG-0481	BLG504.04	 146338	17:57:29.80	-28:27:42.1	2455725.268	2011-06-12.77	5.299	0.019	53.95
2011-BLG-0482	BLG504.13	 204747	17:56:34.51	-28:06:57.3	2455726.136	2011-06-13.64	14.333	0.261	3.935
2011-BLG-0483	BLG504.16	 8072	17:54:58.50	-28:13:58.3	2455722.371	2011-06-09.87	12.122	0.051	19.57
2011-BLG-0484	BLG505.24	 163662	17:55:14.67	-29:09:03.4	2455729.674	2011-06-17.17	7.685	0.135	7.455
2011-BLG-0485	BLG505.30	 111803	17:56:47.63	-28:51:55.6	2455722.489	2011-06-09.99	4.042	0.722	1.642
2011-BLG-0486	BLG505.31	 58047	17:56:12.39	-28:49:18.2	2455722.964	2011-06-10.46	1.870	2.002	1.061
2011-BLG-0487	BLG505.32	 7835	17:55:44.73	-28:50:00.2	2455725.868	2011-06-13.37	44.372	0.349	2.991
2011-BLG-0488	BLG506.05	 124247	17:56:41.68	-30:56:26.9	2455738.064	2011-06-25.56	108.220	0.010	96.54
2011-BLG-0489	BLG506.10	 26067	17:59:11.99	-30:32:08.1	2455726.665	2011-06-14.16	33.675	0.502	2.176
2011-BLG-0490	BLG511.16	 28381	18:00:26.52	-27:28:19.9	2455730.791	2011-06-18.29	18.195	1.205	1.227
2011-BLG-0491	BLG512.14	 39907	18:01:56.17	-28:41:19.1	2455723.686	2011-06-11.19	4.227	0.878	1.444
2011-BLG-0492	BLG512.19	 18163	18:04:48.99	-28:31:39.3	2455722.747	2011-06-10.25	4.072	0.730	1.630
2011-BLG-0493	BLG512.26	 197936	18:04:56.54	-28:04:15.0	2455735.811	2011-06-23.31	40.099	1.943	1.066
2011-BLG-0494	BLG501.10	 68532	17:53:22.38	-30:02:13.4	2455724.304	2011-06-11.80	2.108	0.626	1.823
2011-BLG-0495	BLG506.03	 144248	17:57:55.46	-30:57:41.0	2455750.782	2011-07-08.28	119.070	0.113	8.927
2011-BLG-0496	BLG506.12	 98308	17:57:22.52	-30:36:12.8	2455736.615	2011-06-24.11	9.896	0.602	1.879
2011-BLG-0497	BLG506.32	 22618	17:55:36.24	-29:57:38.5	2455725.226	2011-06-12.73	10.919	0.103	9.736
2011-BLG-0498	BLG512.06	 6802	18:01:54.27	-29:10:04.4	2455724.000	2011-06-11.50	2.098	1.702	1.096
2011-BLG-0499	BLG513.12	 49817	18:03:15.62	-30:02:13.4	2455743.724	2011-07-01.22	28.682	0.257	3.980
2011-BLG-0500	BLG534.23	 129726	17:50:10.09	-30:47:51.1	2455730.167	2011-06-17.67	28.698	0.627	1.821
2011-BLG-0501	BLG611.08	 38907	17:38:25.08	-27:25:57.4	2455746.047	2011-07-03.55	151.177	0.063	15.82
2011-BLG-0502	BLG611.31	 74159	17:34:12.04	-26:34:12.3	2455733.471	2011-06-20.97	23.433	0.080	12.59
2011-BLG-0503	BLG500.02	 199824	17:53:07.32	-29:02:17.7	2455740.648	2011-06-28.15	18.824	1.133	1.261
2011-BLG-0504	BLG511.27	 71899	18:04:25.06	-26:53:27.1	2455790.301	2011-08-16.80	87.470	1.420	1.153
2011-BLG-0505	BLG512.18	 148768	18:05:03.18	-28:22:48.9	2455728.715	2011-06-16.21	6.893	0.511	2.142
2011-BLG-0506	BLG501.27	 52866	17:53:29.23	-29:30:23.8	2455735.118	2011-06-22.62	15.826	0.202	5.031
2011-BLG-0507	BLG504.11	 48081	17:58:16.90	-28:16:40.1	2455750.891	2011-07-08.39	39.458	0.211	4.814
2011-BLG-0508	BLG504.17	 175822	18:00:10.55	-27:53:52.3	2455737.077	2011-06-24.58	63.684	0.322	3.222
2011-BLG-0509	BLG504.25	 29919	17:54:50.11	-27:56:33.1	2455753.111	2011-07-10.61	0.285	0.002	611.7
2011-BLG-0510	BLG505.16	 138666	17:54:43.21	-29:17:57.6	2455741.463	2011-06-28.96	8.702	0.647	1.779
2011-BLG-0511	BLG506.09	 72812	17:59:47.10	-30:32:16.5	2455739.245	2011-06-26.75	15.162	0.829	1.497
2011-BLG-0512	BLG534.32	 61099	17:49:39.39	-30:44:06.4	2455731.498	2011-06-19.00	8.720	0.693	1.691
2011-BLG-0513	BLG512.27	 72280	18:04:31.74	-28:10:55.0	2455728.857	2011-06-16.36	1.849	0.000	6920.
2011-BLG-0514	BLG534.02	 100017	17:53:15.19	-31:31:55.7	2455726.640	2011-06-14.14	0.091	0.645	1.781
2011-BLG-0515	BLG501.12	 66969	17:51:56.07	-29:58:46.1	2455731.681	2011-06-19.18	3.096	1.440	1.148
2011-BLG-0516	BLG505.17	 194188	18:00:03.36	-29:04:35.0	2455729.757	2011-06-17.26	18.381	0.434	2.463
2011-BLG-0517	BLG500.22	 95414	17:51:07.55	-28:24:48.8	2455745.737	2011-07-03.24	18.228	1.104	1.276
2011-BLG-0518	BLG501.19	 85791	17:53:21.89	-29:40:02.1	2455737.868	2011-06-25.37	14.037	0.308	3.364
2011-BLG-0519	BLG504.04	 31808	17:57:52.94	-28:23:30.2	2455741.062	2011-06-28.56	10.230	0.280	3.673
2011-BLG-0520	BLG505.07	 89926	17:55:32.90	-29:39:38.2	2455735.274	2011-06-22.77	127.957	0.044	22.97
2011-BLG-0521	BLG505.20	 227978	17:58:01.89	-28:55:56.3	2455746.903	2011-07-04.40	7.493	1.026	1.324
2011-BLG-0522	BLG505.25	 56276	17:54:45.76	-29:07:25.7	2455737.377	2011-06-24.88	19.761	0.310	3.342
2011-BLG-0523	BLG505.26	 20952	17:59:56.28	-28:46:06.6	2455741.679	2011-06-29.18	15.226	0.891	1.432
2011-BLG-0524	BLG506.30	 103100	17:56:39.23	-30:04:58.9	2455735.871	2011-06-23.37	6.654	0.888	1.435
2011-BLG-0525	BLG512.10	 106455	18:04:31.82	-28:39:28.1	2455737.575	2011-06-25.07	7.339	0.231	4.406
2011-BLG-0526	BLG512.29	 220741	18:02:45.37	-28:01:25.8	2455754.258	2011-07-11.76	11.741	0.146	6.909
2011-BLG-0527	BLG611.04	 72434	17:35:43.66	-27:32:00.2	2455734.992	2011-06-22.49	10.709	0.634	1.807
2011-BLG-0528	BLG500.09	 123187	17:54:06.71	-28:50:12.0	2455759.709	2011-07-17.21	102.091	0.405	2.616
2011-BLG-0529	BLG500.10	 15897	17:53:37.41	-28:48:38.5	2455738.720	2011-06-26.22	39.813	0.079	12.70
2011-BLG-0530	BLG500.12	 24786	17:52:17.84	-28:43:31.5	2455732.990	2011-06-20.49	40.805	0.123	8.151
2011-BLG-0531	BLG500.28	 65603	17:52:37.77	-28:15:16.5	2455758.135	2011-07-15.63	19.964	0.583	1.925
2011-BLG-0532	BLG501.27	 147121	17:53:14.56	-29:18:14.9	2455749.516	2011-07-07.02	18.105	0.658	1.756
2011-BLG-0533	BLG501.30	 11589	17:51:29.73	-29:22:13.5	2455736.379	2011-06-23.88	25.826	0.768	1.574
2011-BLG-0534	BLG504.01	 71409	17:59:45.51	-28:27:10.9	2455733.663	2011-06-21.16	7.628	1.719	1.093
2011-BLG-0535	BLG504.02	 160931	17:58:53.36	-28:19:55.1	2455768.249	2011-07-25.75	61.712	0.083	12.05
2011-BLG-0536	BLG504.05	 83519	17:56:54.00	-28:26:22.8	2455750.288	2011-07-07.79	58.849	0.246	4.156
2011-BLG-0537	BLG504.10	 17395	17:59:14.52	-28:11:36.3	2455739.475	2011-06-26.98	18.893	0.064	15.55
2011-BLG-0538	BLG504.13	 28911	17:57:07.35	-28:08:16.4	2455727.453	2011-06-14.95	76.014	0.402	2.637
2011-BLG-0539	BLG505.10	 114902	17:58:59.07	-29:30:25.8	2455742.471	2011-06-29.97	18.969	0.723	1.640
2011-BLG-0540	BLG505.12	 222354	17:57:14.71	-29:14:43.7	2455743.850	2011-07-01.35	12.765	0.365	2.874
2011-BLG-0541	BLG505.21	 26017	17:57:51.17	-29:04:25.0	2455741.040	2011-06-28.54	15.023	0.606	1.869
2011-BLG-0542	BLG506.31	 166582	17:55:51.20	-29:54:15.2	2455735.981	2011-06-23.48	10.848	0.731	1.629
2011-BLG-0543	BLG511.08	 58393	18:05:51.97	-27:33:21.3	2455780.053	2011-08-06.55	76.444	0.573	1.952
2011-BLG-0544	BLG512.21	 117537	18:02:58.19	-28:35:15.5	2455743.388	2011-06-30.89	35.844	0.476	2.276
2011-BLG-0545	BLG512.31	 41678	18:01:55.49	-28:02:35.7	2455751.164	2011-07-08.66	17.698	0.239	4.278
2011-BLG-0546	BLG513.19	 95679	18:04:29.46	-29:43:10.6	2455737.141	2011-06-24.64	7.165	0.336	3.099
2011-BLG-0547	BLG513.27	 46089	18:04:41.31	-29:26:27.7	2455762.577	2011-07-20.08	23.117	0.504	2.170
2011-BLG-0548	BLG513.32	 107459	18:00:45.06	-29:22:55.3	2455746.718	2011-07-04.22	14.709	0.480	2.260
2011-BLG-0549	BLG514.19	 118766	18:04:19.71	-30:56:04.7	2455732.641	2011-06-20.14	11.696	0.315	3.295
2011-BLG-0550	BLG534.09	 129168	17:54:00.86	-31:04:44.5	2455735.698	2011-06-23.20	16.625	0.291	3.545
2011-BLG-0551	BLG534.10	 19140	17:53:32.82	-31:14:35.1	2455735.121	2011-06-22.62	8.593	0.892	1.431
2011-BLG-0552	BLG534.13	 59747	17:51:12.19	-31:05:40.3	2455746.415	2011-07-03.92	28.395	0.698	1.682
2011-BLG-0553	BLG534.24	 83113	17:49:24.10	-30:58:16.9	2455790.764	2011-08-17.26	85.929	0.155	6.514
2011-BLG-0554	BLG534.25	 36748	17:49:03.85	-30:48:48.5	2455747.134	2011-07-04.63	22.978	0.068	14.65
2011-BLG-0555	BLG534.29	 135992	17:51:36.77	-30:43:03.8	2455741.806	2011-06-29.31	22.936	0.118	8.512
2011-BLG-0556	BLG611.09	 94385	17:37:35.02	-27:17:49.0	2455762.544	2011-07-20.04	72.361	0.378	2.788
2011-BLG-0557	BLG611.20	 191813	17:36:02.97	-26:52:57.5	2455753.041	2011-07-10.54	34.347	0.497	2.194
2011-BLG-0558	BLG611.23	 91499	17:34:05.16	-27:07:10.5	2455765.970	2011-07-23.47	60.877	0.598	1.888
2011-BLG-0559	BLG502.15	 45223	17:49:34.72	-33:47:33.0	2455606.660	2011-02-14.16	20.513	0.000	19796
2011-BLG-0560	BLG535.12	 87421	17:51:41.14	-32:29:57.3	2455595.681	2011-02-03.18	16.027	0.784	1.552
2011-BLG-0561	BLG535.12	 126206	17:51:27.44	-32:27:56.5	2455623.739	2011-03-03.24	38.838	0.051	19.48
2011-BLG-0562	BLG580.04	 10391	18:08:39.98	-26:05:18.7	2455622.257	2011-03-01.76	19.648	0.182	5.575
2011-BLG-0563	BLG580.06	 62139	18:07:08.85	-25:58:24.7	2455591.317	2011-01-29.82	117.685	0.093	10.80
2011-BLG-0564	BLG580.07	 13646	18:06:36.25	-26:01:05.5	2455618.893	2011-02-26.39	9.695	0.224	4.543
2011-BLG-0565	BLG580.30	 102548	18:07:36.69	-24:56:35.8	2455625.133	2011-03-04.63	44.890	0.302	3.424
2011-BLG-0566	BLG502.23	 129587	17:49:56.78	-33:28:39.4	2455604.446	2011-02-11.95	61.652	0.271	3.797
2011-BLG-0567	BLG507.06	 19271	17:56:20.03	-32:10:09.0	2455634.275	2011-03-13.78	8.955	0.551	2.014
2011-BLG-0568	BLG507.13	 144136	17:56:32.70	-31:54:01.7	2455626.238	2011-03-05.74	10.143	0.103	9.786
2011-BLG-0569	BLG507.21	 90482	17:57:29.07	-31:38:52.6	2455623.474	2011-03-02.97	8.408	0.392	2.697
2011-BLG-0570	BLG515.06	 105708	18:01:46.67	-32:38:46.6	2455590.670	2011-01-29.17	27.549	0.862	1.461
2011-BLG-0571	BLG515.18	 123845	18:05:10.11	-32:02:27.9	2455600.302	2011-02-07.80	29.315	1.395	1.160
2011-BLG-0572	BLG515.28	 66216	18:04:07.07	-31:44:51.2	2455614.639	2011-02-22.14	19.126	0.621	1.835
2011-BLG-0573	BLG518.01	 28917	18:10:50.18	-27:10:37.3	2455622.111	2011-03-01.61	19.404	0.129	7.803
2011-BLG-0574	BLG518.05	 84010	18:07:34.80	-27:22:32.3	2455627.904	2011-03-07.40	29.404	1.263	1.203
2011-BLG-0575	BLG518.08	 102665	18:11:03.43	-26:49:16.6	2455632.963	2011-03-12.46	5.692	0.648	1.776
2011-BLG-0576	BLG518.18	 124934	18:10:16.57	-26:41:33.2	2455622.118	2011-03-01.62	6.920	0.000	17636
2011-BLG-0577	BLG518.31	 96436	18:06:48.02	-26:26:01.2	2455634.717	2011-03-14.22	6.579	1.153	1.251
2011-BLG-0578	BLG519.16	 10499	18:05:56.35	-28:13:25.2	2455595.092	2011-02-02.59	42.799	1.652	1.104
2011-BLG-0579	BLG519.21	 178437	18:08:17.77	-27:45:02.0	2455623.934	2011-03-03.43	19.879	0.817	1.511
2011-BLG-0580	BLG520.07	 54171	18:06:32.02	-29:48:11.6	2455613.017	2011-02-20.52	21.673	0.595	1.896
2011-BLG-0581	BLG580.26	 69778	18:10:15.46	-25:11:59.5	2455635.546	2011-03-15.05	18.250	0.521	2.110
2011-BLG-0582	BLG603.01	 31842	17:48:14.98	-34:32:23.8	2455632.039	2011-03-11.54	5.007	0.206	4.935
2011-BLG-0583	BLG603.20	 27193	17:46:46.53	-33:56:29.6	2455641.367	2011-03-20.87	19.098	0.608	1.864
2011-BLG-0584	BLG603.25	 96070	17:42:29.55	-33:59:22.0	2455634.351	2011-03-13.85	18.499	0.160	6.308
2011-BLG-0585	BLG507.15	 87948	17:55:22.65	-31:42:02.7	2455648.321	2011-03-27.82	36.310	0.068	14.63
2011-BLG-0586	BLG508.16	 81384	17:54:27.97	-33:05:19.0	2455616.002	2011-02-23.50	115.781	0.294	3.516
2011-BLG-0587	BLG518.02	 71873	18:09:58.66	-27:07:22.0	2455636.211	2011-03-15.71	31.345	0.791	1.544
2011-BLG-0588	BLG518.14	 117091	18:06:52.24	-26:53:30.3	2455643.400	2011-03-22.90	11.185	0.366	2.865
2011-BLG-0589	BLG519.21	 110304	18:08:28.98	-27:51:35.0	2455643.319	2011-03-22.82	2.879	0.803	1.528
2011-BLG-0590	BLG535.27	 119102	17:53:09.50	-31:43:35.8	2455637.723	2011-03-17.22	38.323	0.269	3.820
2011-BLG-0591	BLG580.06	 105179	18:06:56.46	-25:59:28.2	2455620.841	2011-02-28.34	115.650	0.056	17.73
2011-BLG-0592	BLG580.07	 58791	18:06:26.47	-25:57:29.3	2455637.318	2011-03-16.82	3.382	0.550	2.018
2011-BLG-0593	BLG580.16	 15803	18:05:50.00	-25:42:20.7	2455644.723	2011-03-24.22	13.523	0.314	3.304
2011-BLG-0594	BLG603.23	 22579	17:44:32.41	-33:59:23.0	2455632.286	2011-03-11.79	8.070	0.509	2.151
2011-BLG-0595	BLG507.30	 44020	17:56:57.50	-31:20:15.4	2455649.284	2011-03-28.78	3.041	0.985	1.353
2011-BLG-0596	BLG507.30	 94040	17:56:38.65	-31:20:26.6	2455648.743	2011-03-28.24	4.502	0.817	1.511
2011-BLG-0597	BLG508.26	 86545	17:59:39.96	-32:23:07.9	2455659.641	2011-04-08.14	29.819	0.218	4.666
2011-BLG-0598	BLG508.31	 27722	17:56:19.84	-32:18:45.2	2455651.448	2011-03-30.95	6.007	1.483	1.137
2011-BLG-0599	BLG519.09	 137073	18:10:25.69	-28:13:58.7	2455649.196	2011-03-28.70	3.507	0.690	1.697
2011-BLG-0600	BLG520.03	 141413	18:09:03.71	-29:46:06.3	2455648.899	2011-03-28.40	8.196	0.488	2.228
2011-BLG-0601	BLG535.18	 136191	17:53:44.04	-32:06:45.2	2455654.942	2011-04-03.44	16.301	0.393	2.689
2011-BLG-0602	BLG535.30	 12543	17:51:03.28	-31:54:02.0	2455658.696	2011-04-07.20	11.879	1.515	1.130
2011-BLG-0603	BLG603.09	 135461	17:47:48.91	-34:17:31.6	2455665.910	2011-04-14.41	35.734	0.115	8.733
2011-BLG-0604	BLG502.11	 14372	17:52:42.92	-33:42:59.0	2455671.593	2011-04-20.09	3.713	0.082	12.28
2011-BLG-0605	BLG507.24	 136777	17:55:01.09	-31:40:39.4	2455671.388	2011-04-19.89	11.685	0.122	8.252
2011-BLG-0606	BLG508.12	 103333	17:57:20.24	-32:56:49.6	2455673.223	2011-04-21.72	11.117	0.202	5.018
2011-BLG-0607	BLG535.18	 122553	17:53:44.64	-32:13:03.0	2455667.097	2011-04-15.60	7.246	0.377	2.793
2011-BLG-0608	BLG603.02	 123022	17:47:15.32	-34:29:42.3	2455672.160	2011-04-20.66	24.341	1.190	1.233
2011-BLG-0609	BLG603.09	 104244	17:47:56.17	-34:13:46.7	2455664.586	2011-04-13.09	15.242	0.871	1.452
2011-BLG-0610	BLG603.13	 31071	17:45:16.69	-34:14:36.3	2455669.835	2011-04-18.34	13.182	0.442	2.424
2011-BLG-0611	BLG507.15	 19119	17:55:33.86	-31:51:35.9	2455676.165	2011-04-24.66	5.198	0.258	3.970
2011-BLG-0612	BLG507.22	 175908	17:56:32.05	-31:23:57.2	2455674.735	2011-04-23.23	35.289	0.062	16.14
2011-BLG-0613	BLG508.22	 84498	17:56:40.46	-32:46:10.4	2455677.092	2011-04-25.59	17.451	0.217	4.687
2011-BLG-0614	BLG518.28	 115034	18:09:00.96	-26:12:25.2	2455674.856	2011-04-23.36	5.358	0.778	1.561
2011-BLG-0615	BLG519.16	 113800	18:05:40.93	-28:11:24.9	2455670.060	2011-04-18.56	23.755	0.171	5.896
2011-BLG-0616	BLG520.03	 28964	18:09:32.60	-29:38:13.6	2455675.322	2011-04-23.82	15.027	0.108	9.265
2011-BLG-0617	BLG520.15	 128929	18:06:24.72	-29:16:11.0	2455680.510	2011-04-29.01	11.543	0.010	101.6
2011-BLG-0618	BLG535.20	 7399	17:52:48.12	-32:14:30.3	2455680.237	2011-04-28.74	3.294	0.191	5.296
2011-BLG-0619	BLG603.23	 61297	17:44:18.40	-33:58:58.7	2455675.644	2011-04-24.14	13.443	0.431	2.478
2011-BLG-0620	BLG508.24	 100600	17:55:18.33	-32:43:17.6	2455683.680	2011-05-02.18	17.668	0.189	5.356
2011-BLG-0621	BLG515.01	 34339	18:05:37.68	-32:51:10.6	2455689.913	2011-05-08.41	5.645	0.529	2.082
2011-BLG-0622	BLG518.04	 123738	18:08:23.01	-27:06:13.2	2455711.243	2011-05-29.74	22.138	0.198	5.114
2011-BLG-0623	BLG518.05	 152423	18:07:24.69	-27:09:50.0	2455698.867	2011-05-17.37	13.769	0.890	1.433
2011-BLG-0624	BLG518.15	 145358	18:06:01.34	-26:59:39.5	2455810.189	2011-09-05.69	78.496	0.133	7.569
2011-BLG-0625	BLG518.31	 56925	18:07:09.95	-26:10:39.0	2455696.066	2011-05-14.57	10.266	1.610	1.111
2011-BLG-0626	BLG519.06	 155104	18:06:48.03	-28:33:33.8	2455693.188	2011-05-11.69	21.968	0.166	6.076
2011-BLG-0627	BLG535.10	 154766	17:52:55.83	-32:21:00.2	2455682.672	2011-05-01.17	10.221	0.363	2.886
2011-BLG-0628	BLG535.23	 37131	17:50:05.62	-32:03:05.3	2455697.249	2011-05-15.75	14.032	0.419	2.538
2011-BLG-0629	BLG603.14	 89328	17:44:14.88	-34:23:00.2	2455713.060	2011-05-31.56	21.846	0.238	4.289
2011-BLG-0630	BLG502.05	 2826	17:51:10.42	-34:08:34.6	2455698.603	2011-05-17.10	3.091	0.096	10.47
2011-BLG-0631	BLG502.09	 46919	17:53:53.59	-33:47:59.5	2455714.259	2011-06-01.76	23.638	0.524	2.098
2011-BLG-0632	BLG502.10	 12254	17:53:31.25	-33:43:57.9	2455694.927	2011-05-13.43	3.914	0.832	1.493
2011-BLG-0633	BLG502.13	 108	17:51:12.68	-33:49:25.1	2455701.478	2011-05-19.98	27.246	0.346	3.022
2011-BLG-0634	BLG502.22	 143548	17:50:38.75	-33:23:37.7	2455706.900	2011-05-25.40	29.040	0.071	14.17
2011-BLG-0635	BLG502.27	 45957	17:53:13.71	-33:12:05.9	2455699.388	2011-05-17.89	17.579	0.646	1.781
2011-BLG-0636	BLG502.30	 38831	17:51:08.55	-32:55:46.8	2455747.879	2011-07-05.38	49.070	0.584	1.923
2011-BLG-0637	BLG502.31	 10145	17:50:32.49	-33:06:54.8	2455705.039	2011-05-23.54	12.198	0.728	1.633
2011-BLG-0638	BLG502.32	 59117	17:49:32.01	-32:59:00.1	2455697.582	2011-05-16.08	2.708	0.261	3.923
2011-BLG-0639	BLG515.31	 112535	18:01:33.95	-31:57:47.0	2455706.586	2011-05-25.09	15.298	0.251	4.073
2011-BLG-0640	BLG519.12	 91940	18:08:24.09	-28:17:15.8	2455695.231	2011-05-13.73	56.374	0.240	4.255
2011-BLG-0641	BLG519.21	 28326	18:08:42.81	-27:46:53.6	2455733.731	2011-06-21.23	87.539	0.264	3.881
2011-BLG-0642	BLG520.17	 57143	18:11:33.16	-29:07:11.8	2455694.570	2011-05-13.07	3.097	0.087	11.55
2011-BLG-0643	BLG535.27	 137181	17:52:56.73	-31:52:04.7	2455699.917	2011-05-18.42	13.621	0.037	26.78
2011-BLG-0644	BLG603.02	 107277	17:47:14.28	-34:36:14.3	2455713.709	2011-06-01.21	66.863	0.439	2.439
