# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-1345	BLG516.19	 39254	18:04:57.38	-33:28:16.5	2455836.176	2011-10-01.68	17.752	0.236	4.328
2011-BLG-1346	BLG525.32	 35209	18:12:17.41	-29:14:17.8	2455831.083	2011-09-26.58	86.353	0.038	26.14
2011-BLG-1347	BLG603.12	 159688	17:45:32.19	-34:14:52.6	2455822.499	2011-09-18.00	50.379	0.320	3.239
2011-BLG-1348	BLG611.06	 5367	17:34:21.78	-27:43:26.2	2455819.169	2011-09-14.67	11.163	0.880	1.442
2011-BLG-1349	BLG653.20	 79222	17:35:55.33	-28:28:12.1	2455811.574	2011-09-07.07	276.078	0.116	8.636
2011-BLG-1350	BLG500.01	 173337	17:53:54.80	-29:11:23.5	2455835.996	2011-10-01.50	88.087	0.084	11.87
2011-BLG-1351	BLG506.18	 41974	17:59:55.03	-30:10:12.1	2455820.020	2011-09-15.52	26.962	0.020	49.25
2011-BLG-1352	BLG519.13	 1991	18:08:04.73	-28:16:47.6	2455817.253	2011-09-12.75	9.969	0.156	6.487
2011-BLG-1353	BLG519.13	 49341	18:07:53.98	-28:15:19.0	2455814.390	2011-09-09.89	8.135	0.000	54712
2011-BLG-1354	BLG519.25	 94661	18:05:38.05	-27:59:21.9	2455851.058	2011-10-16.56	75.408	0.166	6.093
2011-BLG-1355	BLG519.32	 170586	18:06:13.76	-27:22:56.2	2455809.745	2011-09-05.25	19.265	0.843	1.481
2011-BLG-1356	BLG520.08	 108276	18:11:16.85	-29:17:56.5	2455811.748	2011-09-07.25	22.411	0.675	1.724
2011-BLG-1357	BLG580.12	 136316	18:08:04.95	-25:47:49.9	2455814.590	2011-09-10.09	5.974	0.270	3.808
2011-BLG-1358	BLG603.25	 99056	17:42:28.51	-33:56:10.7	2455877.848	2011-11-12.35	53.165	0.146	6.892
2011-BLG-1359	BLG625.18	 42843	17:42:27.40	-22:44:38.9	2455811.029	2011-09-06.53	37.934	0.000	19403
2011-BLG-1360	BLG502.01	 63919	17:54:03.78	-33:59:21.2	2455818.667	2011-09-14.17	48.169	0.045	22.33
2011-BLG-1361	BLG503.16	 104510	17:48:26.79	-34:51:20.4	2455821.410	2011-09-16.91	26.905	0.289	3.568
2011-BLG-1362	BLG513.29	 56884	18:03:08.18	-29:20:39.6	2455829.024	2011-09-24.52	11.958	0.300	3.449
2011-BLG-1363	BLG513.29	 127016	18:02:50.02	-29:23:53.9	2455879.380	2011-11-13.88	66.932	1.734	1.091
2011-BLG-1364	BLG518.07	 95063	18:06:13.76	-27:22:56.1	2455810.172	2011-09-05.67	20.587	0.848	1.476
2011-BLG-1365	BLG525.15	 9855	18:12:17.24	-30:02:09.9	2455824.626	2011-09-20.13	25.848	0.745	1.607
2011-BLG-1366	BLG613.10	 56336	17:31:32.93	-29:14:27.0	2455816.156	2011-09-11.66	13.096	0.133	7.583
2011-BLG-1367	BLG615.15	 29199	17:22:15.57	-30:01:05.3	2455836.710	2011-10-02.21	95.973	0.236	4.318
2011-BLG-1368	BLG500.12	 10041	17:52:19.14	-28:52:23.2	2455823.497	2011-09-19.00	51.623	0.102	9.807
2011-BLG-1369	BLG505.05	 141295	17:56:41.06	-29:39:13.5	2455821.142	2011-09-16.64	1.863	1.714	1.094
2011-BLG-1370	BLG625.15	 112861	17:38:01.61	-22:54:55.3	2455811.651	2011-09-07.15	21.056	0.247	4.147
2011-BLG-1371	BLG504.05	 227158	17:56:33.06	-28:22:32.3	2455822.798	2011-09-18.30	12.099	0.013	76.82
2011-BLG-1372	BLG505.28	 178322	17:57:58.04	-28:52:47.1	2455828.663	2011-09-24.16	3.086	0.078	12.82
2011-BLG-1373	BLG513.07	 36918	18:01:02.97	-30:26:30.1	2455828.005	2011-09-23.50	6.299	1.142	1.256
2011-BLG-1374	BLG516.14	 34515	18:02:05.62	-33:32:23.2	2455817.969	2011-09-13.47	137.623	0.033	30.21
2011-BLG-1375	BLG519.11	 91073	18:09:11.31	-28:16:41.3	2455822.739	2011-09-18.24	7.343	0.482	2.250
2011-BLG-1376	BLG525.11	 93449	18:14:53.36	-29:56:09.6	2455826.503	2011-09-22.00	29.799	1.925	1.068
