#  Name       RA      DEC       l       b     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
BLG638     17:50:47    -22:50:45       5:49:01     02:08:57   2000.0    17.8463889   -22.8458333     5.8168472     2.1491376   BLG 638
BLG639     17:50:56    -24:04:35       4:46:34     01:29:26   2000.0    17.8488889   -24.0763889     4.7762169     1.4906220   BLG 639
BLG640     17:55:42    -19:46:10       9:03:08     02:43:13   2000.0    17.9283333   -19.7694444     9.0522708     2.7201671   BLG 640
BLG641     17:55:48    -21:00:00       7:59:57     02:04:54   2000.0    17.9300000   -21.0000000     7.9991676     2.0816159   BLG 641
BLG642     17:55:55    -22:13:50       6:56:55     01:26:22   2000.0    17.9319444   -22.2305556     6.9486617     1.4393600   BLG 642
BLG643     17:56:06    -23:27:40       5:54:22     00:47:02   2000.0    17.9350000   -23.4611111     5.9061972     0.7838148   BLG 643
BLG644     17:57:30    -25:32:20       4:16:09    -00:32:05   2000.0    17.9583333   -25.5388889     4.2691105    -0.5347655   BLG 644
BLG645     17:57:30    -26:46:10       3:12:14     -1:09:04   2000.0    17.9583333   -26.7694444     3.2038806    -1.1510518   BLG 645
BLG646     18:02:55    -26:09:15       4:20:24     -1:53:53   2000.0    18.0486111   -26.1541667     4.3401059    -1.8981171   BLG 646
BLG647     17:52:04    -26:09:15       3:07:14     00:12:33   2000.0    17.8677778   -26.1541667     3.1204295     0.2091970   BLG 647
BLG648     17:46:36    -26:46:10       1:57:48     00:56:31   2000.0    17.7766667   -26.7694444     1.9633763     0.9418770   BLG 648
BLG649     17:46:28    -28:00:00       0:53:47     00:19:41   2000.0    17.7744444   -28.0000000     0.8963115     0.3281454   BLG 649
BLG650     17:46:22    -29:13:50     359:50:01    -00:17:33   2000.0    17.7727778   -29.2305556   359.8334993    -0.2924914   BLG 650
BLG651     17:46:14    -30:27:40     358:46:02    -00:54:26   2000.0    17.7705556   -30.4611111   358.7671044    -0.9073412   BLG 651
BLG652     17:41:10    -26:09:15       1:51:03     02:18:00   2000.0    17.6861111   -26.1541667     1.8507703     2.3000267   BLG 652
BLG653     17:35:32    -28:36:55     359:06:01     02:02:39   2000.0    17.5922222   -28.6152778   359.1001658     2.0441803   BLG 653
BLG654     17:35:36    -29:50:45     358:04:17     01:22:05   2000.0    17.5933333   -29.8458333   358.0713706     1.3681555   BLG 654
BLG655     17:35:41    -31:04:35     357:02:42     00:41:20   2000.0    17.5947222   -31.0763889   357.0448873     0.6889844   BLG 655
BLG656     18:19:02    -21:50:50       9:53:27     -3:03:14   2000.0    18.3172222   -21.8472222     9.8907519    -3.0539434   BLG 656
BLG657     18:19:50    -30:27:40       2:19:04     -7:13:18   2000.0    18.3305556   -30.4611111     2.3178999    -7.2216023   BLG 657
BLG658     18:20:08    -31:41:30       1:14:37     -7:50:29   2000.0    18.3355556   -31.6916667     1.2436742    -7.8414967   BLG 658
BLG659     17:46:04    -31:41:30     357:41:49     -1:30:59   2000.0    17.7677778   -31.6916667   357.6970306    -1.5164434   BLG 659
BLG660     17:45:56    -32:55:20     356:37:50     -2:07:54   2000.0    17.7655556   -32.9222222   356.6304681    -2.1318040   BLG 660
BLG661     17:40:05    -33:32:15     355:27:50     -1:24:50   2000.0    17.6680556   -33.5375000   355.4638687    -1.4138475   BLG 661
BLG662     17:30:00    -30:27:40     356:53:43     02:02:52   2000.0    17.5000000   -30.4611111   356.8952793     2.0478765   BLG 662
BLG663     18:08:18    -24:18:30       6:32:48     -2:03:34   2000.0    18.1383333   -24.3083333     6.5466352    -2.0595391   BLG 663
BLG664     18:02:55    -24:55:25       5:24:42     -1:17:33   2000.0    18.0486111   -24.9236111     5.4116732    -1.2923853   BLG 664
BLG665     17:30:04    -25:19:15       1:12:33     04:51:21   2000.0    17.5011111   -25.3208333     1.2090904     4.8558924   BLG 665
BLG666     17:30:03    -26:33:05       0:10:25     04:11:09   2000.0    17.5008333   -26.5513889     0.1737431     4.1858107   BLG 666
BLG667     17:35:28    -25:56:10       1:21:08     03:29:58   2000.0    17.5911111   -25.9361111     1.3523175     3.4995508   BLG 667
BLG668     17:29:57    -31:41:30     355:51:42     01:22:45   2000.0    17.4991667   -31.6916667   355.8617304     1.3792021   BLG 668
BLG669     17:34:17    -32:55:20     355:19:55    -00:03:37   2000.0    17.5713889   -32.9222222   355.3320036    -0.0602454   BLG 669
BLG670     17:33:57    -34:09:10     354:15:39    -00:40:12   2000.0    17.5658333   -34.1527778   354.2608060    -0.6699046   BLG 670
BLG671     17:33:37    -35:23:00     353:11:25     -1:16:52   2000.0    17.5602778   -35.3833333   353.1903856    -1.2810478   BLG 671
BLG672     17:33:02    -36:37:00     352:05:27     -1:51:11   2000.0    17.5505556   -36.6166667   352.0908914    -1.8529358   BLG 672
BLG673     17:32:38    -37:50:40     351:01:01     -2:27:17   2000.0    17.5438889   -37.8444444   351.0169761    -2.4547020   BLG 673
BLG674     17:32:13    -39:04:30     349:56:22     -3:03:24   2000.0    17.5369444   -39.0750000   349.9393575    -3.0566594   BLG 674
BLG675     17:40:58    -27:23:05       0:46:55     01:41:15   2000.0    17.6827778   -27.3847222     0.7819277     1.6874674   BLG 675
BLG676     17:40:49    -28:36:55     359:43:12     01:03:51   2000.0    17.6802778   -28.6152778   359.7200799     1.0641668   BLG 676
BLG677     17:40:37    -29:50:45     358:39:12     00:26:57   2000.0    17.6769444   -29.8458333   358.6533129     0.4490341   BLG 677
BLG678     17:40:22    -31:04:35     357:34:54    -00:09:29   2000.0    17.6727778   -31.0763889   357.5815946    -0.1580962   BLG 678
BLG679     17:40:10    -32:18:25     356:30:58    -00:46:31   2000.0    17.6694444   -32.3069444   356.5161344    -0.7753138   BLG 679
BLG680     17:39:06    -37:13:45     352:13:36     -3:12:16   2000.0    17.6516667   -37.2291667   352.2266124    -3.2045414   BLG 680
BLG681     17:38:48    -38:27:35     351:09:01     -3:48:28   2000.0    17.6466667   -38.4597222   351.1503387    -3.8076602   BLG 681
BLG682     17:38:29    -39:41:25     350:04:19     -4:24:30   2000.0    17.6413889   -39.6902778   350.0718758    -4.4084441   BLG 682
BLG683     17:46:39    -25:32:20       3:01:17     01:34:15   2000.0    17.7775000   -25.5388889     3.0213930     1.5707990   BLG 683
BLG684     18:20:26    -32:55:20       0:09:56     -8:27:26   2000.0    18.3405556   -32.9222222     0.1654340    -8.4571726   BLG 684
BLG685     18:20:44    -34:09:10     359:04:58     -9:04:06   2000.0    18.3455556   -34.1527778   359.0829123    -9.0683443   BLG 685
BLG686     18:21:04    -35:23:00     357:59:56     -9:40:51   2000.0    18.3511111   -35.3833333   357.9989224    -9.6808048   BLG 686
BLG687     18:25:31    -31:04:35       2:19:21     -8:35:19   2000.0    18.4252778   -31.0763889     2.3225871    -8.5886922   BLG 687
BLG688     18:25:53    -32:18:25       1:14:34     -9:12:25   2000.0    18.4313889   -32.3069444     1.2428085    -9.2070241   BLG 688
BLG689     18:26:16    -33:32:15       0:09:35     -9:49:24   2000.0    18.4377778   -33.5375000     0.1598054    -9.8233898   BLG 689
BLG690     18:26:39    -34:46:05     359:04:18    -10:26:03   2000.0    18.4441667   -34.7680556   359.0716927   -10.4342887   BLG 690
BLG691     18:30:14    -28:00:00       5:34:04     -8:07:58   2000.0    18.5038889   -28.0000000     5.5677654    -8.1329040   BLG 691
BLG692     18:30:32    -29:13:50       4:28:58     -8:44:19   2000.0    18.5088889   -29.2305556     4.4827695    -8.7384880   BLG 692
BLG693     18:30:50    -30:27:40       3:23:37     -9:20:22   2000.0    18.5138889   -30.4611111     3.3935120    -9.3395826   BLG 693
BLG694     18:31:14    -31:41:30       2:18:33     -9:57:18   2000.0    18.5205556   -31.6916667     2.3091490    -9.9550450   BLG 694
BLG695     18:31:40    -32:55:20       1:13:22    -10:34:17   2000.0    18.5277778   -32.9222222     1.2227089   -10.5713087   BLG 695
BLG696     18:32:08    -34:09:10       0:08:01    -11:11:16   2000.0    18.5355556   -34.1527778     0.1337266   -11.1878316   BLG 696
BLG697     18:32:36    -35:23:00     359:02:20    -11:47:52   2000.0    18.5433333   -35.3833333   359.0387935   -11.7978973   BLG 697
BLG698     18:35:32    -27:23:05       6:39:01     -8:54:48   2000.0    18.5922222   -27.3847222     6.6502829    -8.9132312   BLG 698
BLG699     18:35:46    -28:36:55       5:33:06     -9:29:50   2000.0    18.5961111   -28.6152778     5.5517940    -9.4972978   BLG 699
BLG700     18:36:08    -29:50:45       4:27:42    -10:06:11   2000.0    18.6022222   -29.8458333     4.4616958   -10.1029313   BLG 700
BLG701     18:36:31    -31:04:35       3:22:05    -10:42:23   2000.0    18.6086111   -31.0763889     3.3681371   -10.7064520   BLG 701
BLG702     18:36:59    -32:18:25       2:16:37    -11:19:13   2000.0    18.6163889   -32.3069444     2.2768510   -11.3202037   BLG 702
