wavelength flux
3999.03681818 1.71158e-14
4001.05952503 1.17704e-14
4003.08223189 1.63565e-14
4005.10493874 3.42976e-14
4007.1276456 1.46752e-14
4009.15035245 -4.38002e-14
4011.17305931 -5.83336e-14
4013.19576616 -3.20206e-14
4015.21847302 -1.93126e-14
4017.24117987 -1.92257e-14
4019.26388673 -1.86819e-14
4021.28659359 -2.0718e-14
4023.30930044 -2.19954e-14
4025.3320073 -3.24336e-15
4027.35471415 9.63026e-15
4029.37742101 -1.31766e-14
4031.40012786 -2.75876e-14
4033.42283472 -1.32849e-14
4035.44554157 1.67898e-15
4037.46824843 9.5837e-16
4039.49095528 -2.33259e-14
4041.51366214 -3.64882e-14
4043.53636899 -1.62962e-14
4045.55907585 4.31631e-15
4047.5817827 1.20901e-14
4049.60448956 1.10009e-14
4051.62719641 -1.85763e-15
4053.64990327 -1.86825e-14
4055.67261012 -2.40677e-14
4057.69531698 -1.58914e-14
4059.71802383 3.54528e-15
4061.74073069 1.76614e-14
4063.76343754 1.58995e-14
4065.7861444 1.21155e-14
4067.80885125 1.21265e-14
4069.83155811 1.57462e-14
4071.85426496 1.74282e-14
4073.87697182 1.22622e-14
4075.89967867 9.11431e-15
4077.92238553 8.50151e-15
4079.94509238 -1.63224e-15
4081.96779924 -1.61983e-14
4083.99050609 -2.11687e-14
4086.01321295 -9.00475e-15
4088.0359198 5.09939e-15
4090.05862666 1.22183e-15
4092.08133351 -1.13537e-14
4094.10404037 -1.51308e-14
4096.12674722 1.688e-15
4098.14945408 2.19178e-14
4100.17216093 2.28724e-14
4102.19486779 1.06439e-14
4104.21757464 -9.69735e-16
4106.2402815 -1.44132e-15
4108.26298835 9.90421e-15
4110.28569521 1.50433e-14
4112.30840206 -9.59914e-15
4114.33110892 -2.21506e-14
4116.35381577 8.33158e-15
4118.37652263 2.8579e-14
4120.39922948 2.16972e-14
4122.42193634 8.57158e-15
4124.44464319 -2.23382e-15
4126.46735005 -4.52976e-15
4128.4900569 4.62469e-15
4130.51276376 4.76698e-15
4132.53547061 -1.12395e-14
4134.55817747 -6.09469e-15
4136.58088432 1.02238e-14
4138.60359118 7.1035e-15
4140.62629803 3.03437e-15
4142.64900489 9.50821e-15
4144.67171174 1.81227e-14
4146.6944186 1.37546e-14
4148.71712545 2.34424e-15
4150.73983231 7.1268e-15
4152.76253916 9.83708e-15
4154.78524602 -2.20536e-15
4156.80795287 -1.03522e-14
4158.83065973 -7.27168e-15
4160.85336658 2.10719e-15
4162.87607344 8.78521e-15
4164.89878029 7.88726e-15
4166.92148715 1.23676e-15
4168.944194 -8.16483e-17
4170.96690086 -2.95449e-15
4172.98960771 -1.45968e-14
4175.01231457 -1.28371e-14
4177.03502142 3.78413e-16
4179.05772828 6.10694e-15
4181.08043513 1.24626e-15
4183.10314199 -8.67559e-15
4185.12584884 -1.59339e-14
4187.1485557 -1.64696e-14
4189.17126255 -7.93123e-15
4191.19396941 2.07065e-15
4193.21667626 -2.87365e-15
4195.23938312 -1.18217e-14
4197.26208997 -4.7947e-15
4199.28479683 -3.17913e-15
4201.30750368 -5.7104e-15
4203.33021054 2.4541e-15
4205.35291739 -1.34993e-16
4207.37562425 -6.50494e-15
4209.3983311 2.64374e-15
4211.42103796 7.01823e-15
4213.44374481 3.8749e-15
4215.46645167 2.20927e-15
4217.48915852 -2.69674e-15
4219.51186538 -7.22735e-15
4221.53457223 -5.99893e-15
4223.55727909 -2.01385e-15
4225.57998594 -1.68025e-15
4227.6026928 -3.25136e-15
4229.62539965 1.55003e-15
4231.64810651 7.30566e-15
4233.67081336 9.35984e-15
4235.69352022 8.10491e-15
4237.71622707 5.80505e-15
4239.73893393 4.91385e-15
4241.76164078 3.91317e-15
4243.78434764 2.40527e-15
4245.80705449 1.55725e-15
4247.82976135 2.28116e-15
4249.8524682 2.55913e-15
4251.87517506 3.00865e-15
4253.89788191 2.10687e-15
4255.92058877 -3.46513e-15
4257.94329562 -3.92659e-15
4259.96600248 1.76649e-15
4261.98870933 5.51704e-15
4264.01141619 4.02184e-15
4266.03412304 1.46681e-15
4268.0568299 2.63282e-15
4270.07953675 3.08841e-15
4272.10224361 -2.13276e-15
4274.12495047 -7.01653e-15
4276.14765732 -1.26067e-15
4278.17036418 1.45345e-15
4280.19307103 1.15561e-15
4282.21577789 3.44852e-15
4284.23848474 1.10247e-15
4286.2611916 3.06242e-15
4288.28389845 6.23862e-15
4290.30660531 7.69363e-16
4292.32931216 2.0776e-15
